code,name,price,vol,trade_value,pe,industry,chip_ratio,value_billion,回檔%,今日漲幅%,chip_success
1737,臺鹽,32.15,100.443,3217727,16.16,其他,-1.99,0.03,0.16,0.47,1
1752,南光,31.8,15.378,487307,15.67,其他,-6.5,0.0,3.2,0.32,1
1760,寶齡富錦,61.1,108.874,6630991,24.54,其他,10.1,0.07,8.4,0.0,1
1762,中化生,34.75,92.63,3198763,,其他,5.4,0.03,16.16,0.72,1
1773,勝一,163.0,980.046,160570512,20.32,其他,-66.98,1.61,13.3,-2.69,1
1776,展宇,17.35,120.996,2084041,35.41,其他,33.89,0.02,18.93,-1.7,1
1783,和康生,40.3,45.934,1843123,13.34,其他,21.77,0.02,3.12,0.37,1
1786,科妍,49.95,105.815,5305503,29.38,其他,-3.78,0.05,11.44,-0.89,1
1789,神隆,19.65,690.12,13506064,140.36,其他,-14.78,0.14,7.96,-0.76,1
1795,美時,185.0,1667.314,310158258,12.62,其他,-23.51,3.1,14.75,-1.86,1
1802,台玻,51.0,20351.833,1054301238,392.31,其他,-24.29,10.54,34.02,-6.08,1
1805,寶徠,10.05,54.229,543117,77.31,建材營建,-11.06,0.01,6.51,-0.99,1
1806,冠軍,8.18,201.26,1634823,58.43,其他,-9.94,0.02,4.26,0.0,1
1808,潤隆,32.25,1080.513,34709996,12.03,建材營建,18.44,0.35,1.07,0.62,1
1809,中釉,36.9,1224.111,45782922,194.21,其他,-0.63,0.46,35.87,-4.77,1
1810,和成,28.6,29453.223,847713858,7.57,其他,-10.51,8.48,16.25,-6.99,1
1817,凱撒衛,38.45,53.687,2062695,9.18,其他,5.59,0.02,1.41,0.13,1
1903,士紙,48.9,114.658,5574743,37.91,其他,29.65,0.06,5.05,0.62,1
1904,正隆,21.45,969.948,20767702,17.58,其他,-16.63,0.21,13.16,-1.15,1
1905,華紙,13.85,1493.031,20828423,,其他,-7.01,0.21,21.97,-2.12,1
1906,寶隆,10.9,49.052,531990,,其他,0.0,0.01,6.44,-0.46,1
1907,永豐餘,28.1,1111.419,30966191,20.07,其他,-3.69,0.31,5.39,0.18,1
1909,榮成,10.05,2223.508,22314258,,其他,-27.97,0.22,9.87,-0.5,1
2002,中鋼,19.15,59825.589,1147609188,,其他,50.87,11.48,1.77,1.06,1
2006,東和鋼鐵,71.8,2031.167,145115983,10.83,其他,28.18,1.45,1.1,0.84,1
2007,燁興,7.2,212.534,1511962,,其他,-1.41,0.02,6.49,0.28,1
2008,高興昌,31.0,90.08,2720760,41.33,其他,26.64,0.03,2.82,0.32,1
2009,第一銅,37.4,633.832,23790330,65.61,其他,-41.74,0.24,7.65,-2.35,1
2010,春源,21.1,698.37,14720434,9.06,其他,28.49,0.15,6.7,0.24,1
2012,春雨,15.75,31.48,490739,,其他,9.53,0.0,13.93,0.64,1
2013,中鋼構,41.0,62.305,2553665,12.69,其他,35.32,0.03,2.22,0.0,1
2014,中鴻,17.4,3314.739,57811526,,其他,5.16,0.58,3.33,0.29,1
2015,豐興,63.8,262.434,16712743,16.07,其他,66.69,0.17,1.24,0.47,1
2017,官田鋼,8.98,298.443,2680343,,其他,7.71,0.03,7.61,0.67,1
2020,美亞,21.25,181.028,3832891,10.95,其他,13.81,0.04,3.19,0.24,1
2022,聚亨,7.77,260.37,2012017,,其他,2.14,0.02,7.28,0.13,1
2023,燁輝,13.95,1285.48,17954033,,其他,34.12,0.18,4.12,0.0,1
2024,志聯,13.8,11.215,152816,197.14,其他,17.83,0.0,2.82,1.47,1
2025,千興,11.7,418.614,4901567,73.13,其他,-32.49,0.05,18.18,-4.1,1
2027,大成鋼,43.55,9448.801,413792935,12.73,其他,-2.69,4.14,4.29,-1.91,1
2028,威致,15.6,83.042,1284234,44.57,其他,1.2,0.01,7.08,0.0,1
2029,盛餘,20.75,175.719,3631092,33.47,其他,51.11,0.04,1.19,0.48,1
2030,彰源,17.5,557.937,9813776,26.52,其他,7.17,0.1,11.84,0.0,1
2031,新光鋼,40.15,575.446,23323255,8.79,其他,25.09,0.23,2.43,-0.62,1
2032,新鋼,16.05,197.331,3178981,18.66,其他,-18.25,0.03,8.81,-1.23,1
2033,佳大,15.4,115.0,1750300,46.67,其他,-13.04,0.02,8.06,0.33,1
2034,允強,19.3,1118.452,21607529,,其他,-37.73,0.22,5.16,-1.28,1
2038,海光,12.75,174.691,2223575,,其他,-16.6,0.02,8.6,-0.39,1
2049,上銀,313.0,1107.594,347816631,68.19,其他,2.23,3.48,15.03,-2.03,1
2059,川湖,7735.0,578.377,4514318125,68.18,電子零組件業,17.34,45.14,13.09,-5.67,1
2062,橋椿,18.7,191.459,3577700,89.05,其他,-48.05,0.04,3.86,-0.8,1
2069,運錩,18.5,226.713,4175855,10.05,其他,-22.5,0.04,3.14,-0.8,1
2072,世紀風電,143.0,250.188,35999090,10.94,其他,-0.92,0.36,18.52,0.7,1
2101,南港,33.0,1200.314,39664866,10.65,其他,-24.27,0.4,6.52,-1.35,1
2102,泰豐,19.0,223.876,4235393,2.94,其他,11.7,0.04,3.31,-0.26,1
2103,台橡,23.3,5037.758,117630961,34.78,其他,9.7,1.18,15.58,-2.31,1
2104,國際中橡,10.35,3399.916,35085104,,其他,-67.8,0.35,11.16,-0.96,1
2105,正新,31.25,4154.146,129661613,19.29,其他,-2.64,1.3,9.68,0.16,1
2106,建大,17.75,487.255,8594119,104.41,其他,-13.55,0.09,4.83,-0.28,1
2107,厚生,25.95,186.88,4814559,18.02,其他,-9.1,0.05,0.95,0.58,1
2108,南帝,28.3,514.432,14605100,32.53,其他,-37.93,0.15,7.52,-1.91,1
2109,華豐,14.5,44.133,637918,12.08,其他,2.27,0.01,4.29,0.0,1
2114,鑫永銓,87.8,27.155,2374638,15.27,其他,3.83,0.02,5.49,0.92,1
2115,六暉-KY,22.05,33.0,726550,17.36,其他,0.0,0.01,2.0,-0.45,1
2201,裕隆,27.9,1377.111,38377446,32.82,其他,-19.0,0.38,5.9,-0.53,1
2204,中華,51.8,969.351,50215519,9.56,其他,-27.33,0.5,4.82,-0.38,1
2206,三陽工業,61.4,823.584,50321408,10.83,其他,28.78,0.5,2.54,1.15,1
2207,和泰車,493.5,317.624,156172087,14.46,其他,13.35,1.56,2.66,0.3,1
2208,台船,19.85,4250.7,84770737,,航運業,-5.92,0.85,13.13,0.51,1
2211,長榮鋼,87.8,495.389,43292254,10.73,其他,3.03,0.43,3.37,0.23,1
2227,裕日車,50.1,49.299,2452071,53.87,其他,-22.31,0.02,2.72,-0.6,1
2228,劍麟,79.7,52.964,4208843,18.67,其他,-5.66,0.04,5.78,0.25,1
2231,為升,96.4,580.903,56053228,,其他,-17.08,0.56,24.69,0.31,1
2233,宇隆,203.5,484.61,101024064,32.46,其他,-10.11,1.01,27.19,-6.86,1
